#,Wilayah,Jumlah Stok (Kg),tahun_filter,diambil_pada_utc,Jenis Komoditas,Nama,Alamat
,,79.1,2026,2026-08-31T02:02:53.154584+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2019,2026-08-31T06:04:08.892397+00:00,,,
,Total,85.43,2019,2026-08-31T06:04:08.892397+00:00,,,
1.0,,5.5,2019,2026-08-31T06:04:08.892874+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2019,2026-08-31T06:04:08.892874+00:00,Beras Medium,,
5.0,,30.0,2019,2026-08-31T06:04:08.892874+00:00,Kedelai,,
,,85.43,2019,2026-08-31T06:04:08.892874+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2020,2026-08-31T06:04:11.773850+00:00,,,
,Total,85.43,2020,2026-08-31T06:04:11.773850+00:00,,,
1.0,,5.5,2020,2026-08-31T06:04:11.774287+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2020,2026-08-31T06:04:11.774287+00:00,Beras Medium,,
,,85.4,2020,2026-08-31T06:04:11.774287+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2021,2026-08-31T06:04:14.573932+00:00,,,
,Total,85.43,2021,2026-08-31T06:04:14.573932+00:00,,,
1.0,,5.5,2021,2026-08-31T06:04:14.574352+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2021,2026-08-31T06:04:14.574352+00:00,Beras Medium,,
,,85.4,2021,2026-08-31T06:04:14.574352+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2022,2026-08-31T06:04:17.505620+00:00,,,
,Total,85.43,2022,2026-08-31T06:04:17.505620+00:00,,,
1.0,,5.5,2022,2026-08-31T06:04:17.506027+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2022,2026-08-31T06:04:17.506027+00:00,Beras Medium,,
5.0,,30.0,2022,2026-08-31T06:04:17.506027+00:00,Kedelai,,
,,85.43,2022,2026-08-31T06:04:17.506027+00:00,Total,,
3.0,Kabupaten Gunung Kidul,6.33,2023,2026-08-31T06:04:20.364034+00:00,,,
,Total,85.43,2023,2026-08-31T06:04:20.364034+00:00,,,
1.0,,5.5,2023,2026-08-31T06:04:20.364449+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2023,2026-08-31T06:04:20.364449+00:00,Beras Medium,,
5.0,,30.0,2023,2026-08-31T06:04:20.364449+00:00,Kedelai,,
,,85.43,2023,2026-08-31T06:04:20.364449+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2024,2026-08-31T06:04:23.214858+00:00,,,
,Total,85.43,2024,2026-08-31T06:04:23.214858+00:00,,,
1.0,,5.5,2024,2026-08-31T06:04:23.215241+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2024,2026-08-31T06:04:23.215241+00:00,Beras Medium,,
5.0,,30.0,2024,2026-08-31T06:04:23.215241+00:00,Kedelai,,
,,85.43,2024,2026-08-31T06:04:23.215241+00:00,Total,,
3.0,Kabupaten Gunung Kidul,6.33,2025,2026-08-31T06:04:26.102017+00:00,,,
,Total,85.43,2025,2026-08-31T06:04:26.102017+00:00,,,
1.0,,5.5,2025,2026-08-31T06:04:26.102416+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2025,2026-08-31T06:04:26.102416+00:00,Beras Medium,,
5.0,,30.0,2025,2026-08-31T06:04:26.102416+00:00,Kedelai,,
,,85.43,2025,2026-08-31T06:04:26.102416+00:00,Total,,
4.0,Kabupaten Gunung Kidul,6.33,2026,2026-08-31T06:04:28.975697+00:00,,,
,Total,85.43,2026,2026-08-31T06:04:28.975697+00:00,,,
1.0,,5.5,2026,2026-08-31T06:04:28.976083+00:00,Gabah Kering Giling (GKG),,
2.0,,70.03,2026,2026-08-31T06:04:28.976083+00:00,Beras Medium,,
5.0,,30.0,2026,2026-08-31T06:04:28.976083+00:00,Kedelai,,
,,85.43,2026,2026-08-31T06:04:28.976083+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2019,2026-08-31T07:51:21.902824+00:00,,,
,Total,92.13,2019,2026-08-31T07:51:21.902824+00:00,,,
1.0,,9.0,2019,2026-08-31T07:51:21.903293+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2019,2026-08-31T07:51:21.903293+00:00,Beras Medium,,
3.0,,10.62,2019,2026-08-31T07:51:21.903293+00:00,Beras Premium,,
,,92.13,2019,2026-08-31T07:51:21.903293+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2020,2026-08-31T07:51:24.345207+00:00,,,
,Total,92.13,2020,2026-08-31T07:51:24.345207+00:00,,,
1.0,,9.0,2020,2026-08-31T07:51:24.345697+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2020,2026-08-31T07:51:24.345697+00:00,Beras Medium,,
3.0,,10.62,2020,2026-08-31T07:51:24.345697+00:00,Beras Premium,,
,,92.1,2020,2026-08-31T07:51:24.345697+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2021,2026-08-31T07:51:26.836958+00:00,,,
,Total,92.13,2021,2026-08-31T07:51:26.836958+00:00,,,
1.0,,9.0,2021,2026-08-31T07:51:26.837368+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2021,2026-08-31T07:51:26.837368+00:00,Beras Medium,,
3.0,,10.62,2021,2026-08-31T07:51:26.837368+00:00,Beras Premium,,
,,92.1,2021,2026-08-31T07:51:26.837368+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2022,2026-08-31T07:51:29.546895+00:00,,,
,Total,92.13,2022,2026-08-31T07:51:29.546895+00:00,,,
1.0,,9.0,2022,2026-08-31T07:51:29.547303+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2022,2026-08-31T07:51:29.547303+00:00,Beras Medium,,
3.0,,10.62,2022,2026-08-31T07:51:29.547303+00:00,Beras Premium,,
,,92.13,2022,2026-08-31T07:51:29.547303+00:00,Total,,
2.0,Kabupaten Bantul,6.7,2023,2026-08-31T07:51:32.136687+00:00,,,
,Total,92.13,2023,2026-08-31T07:51:32.136687+00:00,,,
1.0,,9.0,2023,2026-08-31T07:51:32.137387+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2023,2026-08-31T07:51:32.137387+00:00,Beras Medium,,
3.0,,10.62,2023,2026-08-31T07:51:32.137387+00:00,Beras Premium,,
,,92.13,2023,2026-08-31T07:51:32.137387+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2024,2026-08-31T07:51:34.666099+00:00,,,
,Total,92.13,2024,2026-08-31T07:51:34.666099+00:00,,,
1.0,,9.0,2024,2026-08-31T07:51:34.666493+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2024,2026-08-31T07:51:34.666493+00:00,Beras Medium,,
3.0,,10.62,2024,2026-08-31T07:51:34.666493+00:00,Beras Premium,,
,,92.13,2024,2026-08-31T07:51:34.666493+00:00,Total,,
2.0,Kabupaten Bantul,6.7,2025,2026-08-31T07:51:37.109671+00:00,,,
,Total,92.13,2025,2026-08-31T07:51:37.109671+00:00,,,
1.0,,9.0,2025,2026-08-31T07:51:37.110074+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2025,2026-08-31T07:51:37.110074+00:00,Beras Medium,,
3.0,,10.62,2025,2026-08-31T07:51:37.110074+00:00,Beras Premium,,
,,92.13,2025,2026-08-31T07:51:37.110074+00:00,Total,,
3.0,Kabupaten Bantul,6.7,2026,2026-08-31T07:51:39.596044+00:00,,,
,Total,92.13,2026,2026-08-31T07:51:39.596044+00:00,,,
1.0,,9.0,2026,2026-08-31T07:51:39.596436+00:00,Gabah Kering Giling (GKG),,
2.0,,72.48,2026,2026-08-31T07:51:39.596436+00:00,Beras Medium,,
3.0,,10.62,2026,2026-08-31T07:51:39.596436+00:00,Beras Premium,,
,,92.13,2026,2026-08-31T07:51:39.596436+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2019,2026-09-02T12:07:11.608630+00:00,,,
,Total,95.03,2019,2026-09-02T12:07:11.608630+00:00,,,
1.0,,9.5,2019,2026-09-02T12:07:11.609096+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2019,2026-09-02T12:07:11.609096+00:00,Beras Medium,,
,,95.03,2019,2026-09-02T12:07:11.609096+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2020,2026-09-02T12:07:14.369137+00:00,,,
,Total,95.03,2020,2026-09-02T12:07:14.369137+00:00,,,
1.0,,9.5,2020,2026-09-02T12:07:14.369617+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2020,2026-09-02T12:07:14.369617+00:00,Beras Medium,,
,,95.0,2020,2026-09-02T12:07:14.369617+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2021,2026-09-02T12:07:17.207802+00:00,,,
,Total,95.03,2021,2026-09-02T12:07:17.207802+00:00,,,
1.0,,9.5,2021,2026-09-02T12:07:17.208199+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2021,2026-09-02T12:07:17.208199+00:00,Beras Medium,,
,,95.0,2021,2026-09-02T12:07:17.208199+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2022,2026-09-02T12:07:20.090257+00:00,,,
,Total,95.03,2022,2026-09-02T12:07:20.090257+00:00,,,
1.0,,9.5,2022,2026-09-02T12:07:20.090709+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2022,2026-09-02T12:07:20.090709+00:00,Beras Medium,,
,,95.03,2022,2026-09-02T12:07:20.090709+00:00,Total,,
1.0,Kabupaten Kulon Progo,2.9,2023,2026-09-02T12:07:22.911417+00:00,,,
,Total,95.03,2023,2026-09-02T12:07:22.911417+00:00,,,
1.0,,9.5,2023,2026-09-02T12:07:22.911810+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2023,2026-09-02T12:07:22.911810+00:00,Beras Medium,,
,,95.03,2023,2026-09-02T12:07:22.911810+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2024,2026-09-02T12:07:25.722985+00:00,,,
,Total,95.03,2024,2026-09-02T12:07:25.722985+00:00,,,
1.0,,9.5,2024,2026-09-02T12:07:25.723394+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2024,2026-09-02T12:07:25.723394+00:00,Beras Medium,,
,,95.03,2024,2026-09-02T12:07:25.723394+00:00,Total,,
1.0,Kabupaten Kulon Progo,2.9,2025,2026-09-02T12:07:28.587486+00:00,,,
,Total,95.03,2025,2026-09-02T12:07:28.587486+00:00,,,
1.0,,9.5,2025,2026-09-02T12:07:28.587869+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2025,2026-09-02T12:07:28.587869+00:00,Beras Medium,,
,,95.03,2025,2026-09-02T12:07:28.587869+00:00,Total,,
2.0,Kabupaten Kulon Progo,2.9,2026,2026-09-02T12:07:31.377162+00:00,,,
,Total,95.03,2026,2026-09-02T12:07:31.377162+00:00,,,
1.0,,9.5,2026,2026-09-02T12:07:31.377586+00:00,Gabah Kering Giling (GKG),,
2.0,,74.88,2026,2026-09-02T12:07:31.377586+00:00,Beras Medium,,
,,95.03,2026,2026-09-02T12:07:31.377586+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2019,2026-09-02T18:06:51.026686+00:00,,,
,Total,122.53,2019,2026-09-02T18:06:51.026686+00:00,,,
1.0,,26.7,2019,2026-09-02T18:06:51.027167+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2019,2026-09-02T18:06:51.027167+00:00,Beras Medium,,
,,122.53,2019,2026-09-02T18:06:51.027167+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2020,2026-09-02T18:06:53.543883+00:00,,,
,Total,122.53,2020,2026-09-02T18:06:53.543883+00:00,,,
1.0,,26.7,2020,2026-09-02T18:06:53.544360+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2020,2026-09-02T18:06:53.544360+00:00,Beras Medium,,
,,122.5,2020,2026-09-02T18:06:53.544360+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2021,2026-09-02T18:06:56.164259+00:00,,,
,Total,122.53,2021,2026-09-02T18:06:56.164259+00:00,,,
1.0,,26.7,2021,2026-09-02T18:06:56.164670+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2021,2026-09-02T18:06:56.164670+00:00,Beras Medium,,
,,122.5,2021,2026-09-02T18:06:56.164670+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2022,2026-09-02T18:06:58.733103+00:00,,,
,Total,122.53,2022,2026-09-02T18:06:58.733103+00:00,,,
1.0,,26.7,2022,2026-09-02T18:06:58.733515+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2022,2026-09-02T18:06:58.733515+00:00,Beras Medium,,
,,122.53,2022,2026-09-02T18:06:58.733515+00:00,Total,,
1.0,Kabupaten Kulon Progo,30.4,2023,2026-09-02T18:07:01.329456+00:00,,,
,Total,122.53,2023,2026-09-02T18:07:01.329456+00:00,,,
1.0,,26.7,2023,2026-09-02T18:07:01.329856+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2023,2026-09-02T18:07:01.329856+00:00,Beras Medium,,
,,122.53,2023,2026-09-02T18:07:01.329856+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2024,2026-09-02T18:07:04.030406+00:00,,,
,Total,122.53,2024,2026-09-02T18:07:04.030406+00:00,,,
1.0,,26.7,2024,2026-09-02T18:07:04.030801+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2024,2026-09-02T18:07:04.030801+00:00,Beras Medium,,
,,122.53,2024,2026-09-02T18:07:04.030801+00:00,Total,,
1.0,Kabupaten Kulon Progo,30.4,2025,2026-09-02T18:07:06.511681+00:00,,,
,Total,122.53,2025,2026-09-02T18:07:06.511681+00:00,,,
1.0,,26.7,2025,2026-09-02T18:07:06.512089+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2025,2026-09-02T18:07:06.512089+00:00,Beras Medium,,
,,122.53,2025,2026-09-02T18:07:06.512089+00:00,Total,,
2.0,Kabupaten Kulon Progo,30.4,2026,2026-09-02T18:07:09.025826+00:00,,,
,Total,122.53,2026,2026-09-02T18:07:09.025826+00:00,,,
1.0,,26.7,2026,2026-09-02T18:07:09.026239+00:00,Gabah Kering Giling (GKG),,
2.0,,85.18,2026,2026-09-02T18:07:09.026239+00:00,Beras Medium,,
,,122.53,2026,2026-09-02T18:07:09.026239+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2019,2026-09-04T06:06:24.927382+00:00,,,
,Total,220.36,2019,2026-09-04T06:06:24.927382+00:00,,,
1.0,,40.1,2019,2026-09-04T06:06:24.927846+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2019,2026-09-04T06:06:24.927846+00:00,Beras Medium,,
3.0,,45.82,2019,2026-09-04T06:06:24.927846+00:00,Beras Premium,,
5.0,,40.0,2019,2026-09-04T06:06:24.927846+00:00,Kedelai,,
,,220.34,2019,2026-09-04T06:06:24.927846+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2020,2026-09-04T06:06:27.607839+00:00,,,
,Total,220.36,2020,2026-09-04T06:06:27.607839+00:00,,,
1.0,,40.1,2020,2026-09-04T06:06:27.608318+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2020,2026-09-04T06:06:27.608318+00:00,Beras Medium,,
3.0,,45.82,2020,2026-09-04T06:06:27.608318+00:00,Beras Premium,,
,,220.3,2020,2026-09-04T06:06:27.608318+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2021,2026-09-04T06:06:30.185571+00:00,,,
,Total,220.36,2021,2026-09-04T06:06:30.185571+00:00,,,
1.0,,40.1,2021,2026-09-04T06:06:30.185987+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2021,2026-09-04T06:06:30.185987+00:00,Beras Medium,,
3.0,,45.82,2021,2026-09-04T06:06:30.185987+00:00,Beras Premium,,
,,220.3,2021,2026-09-04T06:06:30.185987+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2022,2026-09-04T06:06:32.905674+00:00,,,
,Total,220.36,2022,2026-09-04T06:06:32.905674+00:00,,,
1.0,,40.1,2022,2026-09-04T06:06:32.906105+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2022,2026-09-04T06:06:32.906105+00:00,Beras Medium,,
3.0,,45.82,2022,2026-09-04T06:06:32.906105+00:00,Beras Premium,,
5.0,,40.0,2022,2026-09-04T06:06:32.906105+00:00,Kedelai,,
8.0,,20.0,2022,2026-09-04T06:06:32.906105+00:00,Kacang Tanah,,
,,220.36,2022,2026-09-04T06:06:32.906105+00:00,Total,,
5.0,Kabupaten Sleman,97.83,2023,2026-09-04T06:06:35.555482+00:00,,,
,Total,220.36,2023,2026-09-04T06:06:35.555482+00:00,,,
1.0,,40.1,2023,2026-09-04T06:06:35.555880+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2023,2026-09-04T06:06:35.555880+00:00,Beras Medium,,
3.0,,45.82,2023,2026-09-04T06:06:35.555880+00:00,Beras Premium,,
5.0,,40.0,2023,2026-09-04T06:06:35.555880+00:00,Kedelai,,
7.0,,20.0,2023,2026-09-04T06:06:35.555880+00:00,Kacang Tanah,,
,,220.36,2023,2026-09-04T06:06:35.555880+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2024,2026-09-04T06:06:38.215353+00:00,,,
,Total,220.36,2024,2026-09-04T06:06:38.215353+00:00,,,
1.0,,40.1,2024,2026-09-04T06:06:38.215749+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2024,2026-09-04T06:06:38.215749+00:00,Beras Medium,,
3.0,,45.82,2024,2026-09-04T06:06:38.215749+00:00,Beras Premium,,
5.0,,40.0,2024,2026-09-04T06:06:38.215749+00:00,Kedelai,,
6.0,,20.0,2024,2026-09-04T06:06:38.215749+00:00,Kacang Tanah,,
,,220.36,2024,2026-09-04T06:06:38.215749+00:00,Total,,
5.0,Kabupaten Sleman,97.83,2025,2026-09-04T06:06:40.817105+00:00,,,
,Total,220.36,2025,2026-09-04T06:06:40.817105+00:00,,,
1.0,,40.1,2025,2026-09-04T06:06:40.817503+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2025,2026-09-04T06:06:40.817503+00:00,Beras Medium,,
3.0,,45.82,2025,2026-09-04T06:06:40.817503+00:00,Beras Premium,,
5.0,,40.0,2025,2026-09-04T06:06:40.817503+00:00,Kedelai,,
,,220.34,2025,2026-09-04T06:06:40.817503+00:00,Total,,
6.0,Kabupaten Sleman,97.83,2026,2026-09-04T06:06:43.432949+00:00,,,
,Total,220.36,2026,2026-09-04T06:06:43.432949+00:00,,,
1.0,,40.1,2026,2026-09-04T06:06:43.433382+00:00,Gabah Kering Giling (GKG),,
2.0,,134.38,2026,2026-09-04T06:06:43.433382+00:00,Beras Medium,,
3.0,,45.82,2026,2026-09-04T06:06:43.433382+00:00,Beras Premium,,
5.0,,40.0,2026,2026-09-04T06:06:43.433382+00:00,Kedelai,,
6.0,,20.0,2026,2026-09-04T06:06:43.433382+00:00,Kacang Tanah,,
,,220.36,2026,2026-09-04T06:06:43.433382+00:00,Total,,
