periode_kode,tahun,bulan,nama_bulan,level,wilayah,tanam_ha,panen_ha,diambil_pada_utc
202506,2025,6,Juni,kabupaten_kota,Gunungkidul,287.3,4731.54,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,kabupaten_kota,Gunungkidul,2694.03,2633.72,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,kabupaten_kota,Gunungkidul,3736.88,452.18,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,kabupaten_kota,Gunungkidul,6830.28,258.03,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,kabupaten_kota,Gunungkidul,5293.64,871.6,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,kabupaten_kota,Gunungkidul,3099.05,2656.17,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,kabupaten_kota,Gunungkidul,1424.96,4061.45,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,kabupaten_kota,Gunungkidul,894.35,7952.84,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,kabupaten_kota,Gunungkidul,642.18,7173.62,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,kabupaten_kota,Gunungkidul,1781.45,3281.92,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,kabupaten_kota,Gunungkidul,690.35,1382.66,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,kabupaten_kota,Gunungkidul,344.35,1126.51,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,kabupaten_kota,Gunungkidul,786.09,1371.3,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,kabupaten_kota,Gunungkidul,1823.28,904.83,2026-08-31T00:25:59.437548+00:00
202401,2024,1,Januari,kabupaten_kota,Kota Yogyakarta,3.83,7.19,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,kabupaten_kota,Kota Yogyakarta,4.31,8.98,2026-08-31T00:25:59.437548+00:00
202403,2024,3,Maret,kabupaten_kota,Kota Yogyakarta,5.17,4.04,2026-08-31T00:25:59.437548+00:00
202404,2024,4,April,kabupaten_kota,Kota Yogyakarta,2.35,0.85,2026-08-31T00:25:59.437548+00:00
202405,2024,5,Mei,kabupaten_kota,Kota Yogyakarta,3.97,4.26,2026-08-31T00:25:59.437548+00:00
202406,2024,6,Juni,kabupaten_kota,Kota Yogyakarta,1.19,5.52,2026-08-31T00:25:59.437548+00:00
202407,2024,7,Juli,kabupaten_kota,Kota Yogyakarta,5.54,6.3,2026-08-31T00:25:59.437548+00:00
202408,2024,8,Agustus,kabupaten_kota,Kota Yogyakarta,4.28,2.26,2026-08-31T00:25:59.437548+00:00
202409,2024,9,September,kabupaten_kota,Kota Yogyakarta,5.61,1.16,2026-08-31T00:25:59.437548+00:00
202410,2024,10,Oktober,kabupaten_kota,Kota Yogyakarta,5.65,1.67,2026-08-31T00:25:59.437548+00:00
202411,2024,11,November,kabupaten_kota,Kota Yogyakarta,2.22,4.94,2026-08-31T00:25:59.437548+00:00
202412,2024,12,Desember,kabupaten_kota,Kota Yogyakarta,2.03,4.92,2026-08-31T00:25:59.437548+00:00
202501,2025,1,Januari,kabupaten_kota,Kota Yogyakarta,7.44,5.48,2026-08-31T00:25:59.437548+00:00
202502,2025,2,Februari,kabupaten_kota,Kota Yogyakarta,6.29,3.98,2026-08-31T00:25:59.437548+00:00
202503,2025,3,Maret,kabupaten_kota,Kota Yogyakarta,3.59,3.41,2026-08-31T00:25:59.437548+00:00
202504,2025,4,April,kabupaten_kota,Kota Yogyakarta,3.04,2.61,2026-08-31T00:25:59.437548+00:00
202505,2025,5,Mei,kabupaten_kota,Kota Yogyakarta,1.26,7.39,2026-08-31T00:25:59.437548+00:00
202506,2025,6,Juni,kabupaten_kota,Kota Yogyakarta,5.02,8.05,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,kabupaten_kota,Kota Yogyakarta,6.78,2.14,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,kabupaten_kota,Kota Yogyakarta,4.06,2.51,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,kabupaten_kota,Kota Yogyakarta,2.29,1.33,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,kabupaten_kota,Kota Yogyakarta,2.25,6.92,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,kabupaten_kota,Kota Yogyakarta,5.93,5.59,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,kabupaten_kota,Kota Yogyakarta,5.11,3.33,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,kabupaten_kota,Kota Yogyakarta,3.67,1.57,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,kabupaten_kota,Kota Yogyakarta,2.1,2.76,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,kabupaten_kota,Kota Yogyakarta,2.34,7.0,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,kabupaten_kota,Kota Yogyakarta,3.57,5.91,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,kabupaten_kota,Kota Yogyakarta,3.55,4.56,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,kabupaten_kota,Kota Yogyakarta,1.71,2.91,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,kabupaten_kota,Kota Yogyakarta,4.61,1.38,2026-08-31T00:25:59.437548+00:00
202401,2024,1,Januari,kabupaten_kota,Kulon Progo,1571.9,2735.97,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,kabupaten_kota,Kulon Progo,2657.54,2829.2,2026-08-31T00:25:59.437548+00:00
202403,2024,3,Maret,kabupaten_kota,Kulon Progo,2176.9,1070.9,2026-08-31T00:25:59.437548+00:00
202404,2024,4,April,kabupaten_kota,Kulon Progo,808.9,1190.92,2026-08-31T00:25:59.437548+00:00
202405,2024,5,Mei,kabupaten_kota,Kulon Progo,1243.95,2118.97,2026-08-31T00:25:59.437548+00:00
202406,2024,6,Juni,kabupaten_kota,Kulon Progo,1062.18,2270.37,2026-08-31T00:25:59.437548+00:00
202407,2024,7,Juli,kabupaten_kota,Kulon Progo,744.91,2176.65,2026-08-31T00:25:59.437548+00:00
202408,2024,8,Agustus,kabupaten_kota,Kulon Progo,1182.24,859.33,2026-08-31T00:25:59.437548+00:00
202409,2024,9,September,kabupaten_kota,Kulon Progo,1676.24,966.78,2026-08-31T00:25:59.437548+00:00
202410,2024,10,Oktober,kabupaten_kota,Kulon Progo,3320.21,880.24,2026-08-31T00:25:59.437548+00:00
202411,2024,11,November,kabupaten_kota,Kulon Progo,418.83,858.07,2026-08-31T00:25:59.437548+00:00
202412,2024,12,Desember,kabupaten_kota,Kulon Progo,2822.81,1326.22,2026-08-31T00:25:59.437548+00:00
202501,2025,1,Januari,kabupaten_kota,Kulon Progo,1721.38,2306.69,2026-08-31T00:25:59.437548+00:00
202502,2025,2,Februari,kabupaten_kota,Kulon Progo,2291.64,2204.41,2026-08-31T00:25:59.437548+00:00
202503,2025,3,Maret,kabupaten_kota,Kulon Progo,2093.85,934.74,2026-08-31T00:25:59.437548+00:00
202504,2025,4,April,kabupaten_kota,Kulon Progo,1005.71,3042.0,2026-08-31T00:25:59.437548+00:00
202505,2025,5,Mei,kabupaten_kota,Kulon Progo,2492.57,1189.59,2026-08-31T00:25:59.437548+00:00
202506,2025,6,Juni,kabupaten_kota,Kulon Progo,766.57,2978.55,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,kabupaten_kota,Kulon Progo,784.53,1476.73,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,kabupaten_kota,Kulon Progo,915.62,1450.96,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,kabupaten_kota,Kulon Progo,1916.64,1828.94,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,kabupaten_kota,Kulon Progo,1214.51,946.11,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,kabupaten_kota,Kulon Progo,1535.23,1051.46,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,kabupaten_kota,Kulon Progo,3279.68,745.71,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,kabupaten_kota,Kulon Progo,1706.45,1977.17,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,kabupaten_kota,Kulon Progo,1851.36,867.07,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,kabupaten_kota,Kulon Progo,762.54,2023.07,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,kabupaten_kota,Kulon Progo,1943.5,3307.16,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,kabupaten_kota,Kulon Progo,1976.69,1465.98,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,kabupaten_kota,Kulon Progo,466.63,1990.78,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,kabupaten_kota,Kulon Progo,1574.18,1064.6,2026-08-31T00:25:59.437548+00:00
202401,2024,1,Januari,kabupaten_kota,Sleman,2381.96,3708.4,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,kabupaten_kota,Sleman,2331.07,4016.56,2026-08-31T00:25:59.437548+00:00
202403,2024,3,Maret,kabupaten_kota,Sleman,2089.65,1677.91,2026-08-31T00:25:59.437548+00:00
202404,2024,4,April,kabupaten_kota,Sleman,1500.4,1274.87,2026-08-31T00:25:59.437548+00:00
202405,2024,5,Mei,kabupaten_kota,Sleman,1925.31,2495.97,2026-08-31T00:25:59.437548+00:00
202406,2024,6,Juni,kabupaten_kota,Sleman,1237.03,2474.51,2026-08-31T00:25:59.437548+00:00
202407,2024,7,Juli,kabupaten_kota,Sleman,2772.03,2841.79,2026-08-31T00:25:59.437548+00:00
202408,2024,8,Agustus,kabupaten_kota,Sleman,3735.08,973.61,2026-08-31T00:25:59.437548+00:00
202409,2024,9,September,kabupaten_kota,Sleman,2410.07,1242.5,2026-08-31T00:25:59.437548+00:00
202410,2024,10,Oktober,kabupaten_kota,Sleman,2994.23,1366.09,2026-08-31T00:25:59.437548+00:00
202411,2024,11,November,kabupaten_kota,Sleman,885.09,2906.73,2026-08-31T00:25:59.437548+00:00
202412,2024,12,Desember,kabupaten_kota,Sleman,1696.76,4202.73,2026-08-31T00:25:59.437548+00:00
202501,2025,1,Januari,kabupaten_kota,Sleman,5552.57,2361.53,2026-08-31T00:25:59.437548+00:00
202502,2025,2,Februari,kabupaten_kota,Sleman,2849.73,1821.29,2026-08-31T00:25:59.437548+00:00
202503,2025,3,Maret,kabupaten_kota,Sleman,2606.43,1529.59,2026-08-31T00:25:59.437548+00:00
202504,2025,4,April,kabupaten_kota,Sleman,1229.4,3150.63,2026-08-31T00:25:59.437548+00:00
202505,2025,5,Mei,kabupaten_kota,Sleman,1275.55,4306.67,2026-08-31T00:25:59.437548+00:00
202506,2025,6,Juni,kabupaten_kota,Sleman,2565.85,3800.8,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,kabupaten_kota,Sleman,4505.96,1540.02,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,kabupaten_kota,Sleman,3474.95,920.19,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,kabupaten_kota,Sleman,1415.74,1510.46,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,kabupaten_kota,Sleman,945.79,3242.82,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,kabupaten_kota,Sleman,1498.33,4889.87,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,kabupaten_kota,Sleman,4399.63,2341.73,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,kabupaten_kota,Sleman,3977.0,1164.41,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,kabupaten_kota,Sleman,1656.22,1031.93,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,kabupaten_kota,Sleman,1061.8,2395.38,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,kabupaten_kota,Sleman,802.11,4872.63,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,kabupaten_kota,Sleman,2038.8,3190.32,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,kabupaten_kota,Sleman,2526.96,1512.31,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,kabupaten_kota,Sleman,5032.56,742.58,2026-08-31T00:25:59.437548+00:00
202401,2024,1,Januari,provinsi,DI Yogyakarta,7004.02,11617.09,2026-08-31T00:25:59.437548+00:00
202402,2024,2,Februari,provinsi,DI Yogyakarta,6978.53,18988.99,2026-08-31T00:25:59.437548+00:00
202403,2024,3,Maret,provinsi,DI Yogyakarta,6777.21,14742.32,2026-08-31T00:25:59.437548+00:00
202404,2024,4,April,provinsi,DI Yogyakarta,5476.54,8422.15,2026-08-31T00:25:59.437548+00:00
202405,2024,5,Mei,provinsi,DI Yogyakarta,6322.9,7467.36,2026-08-31T00:25:59.437548+00:00
202406,2024,6,Juni,provinsi,DI Yogyakarta,4446.5,7277.13,2026-08-31T00:25:59.437548+00:00
202407,2024,7,Juli,provinsi,DI Yogyakarta,6287.86,9195.68,2026-08-31T00:25:59.437548+00:00
202408,2024,8,Agustus,provinsi,DI Yogyakarta,9474.35,4219.6,2026-08-31T00:25:59.437548+00:00
202409,2024,9,September,provinsi,DI Yogyakarta,8029.54,4323.19,2026-08-31T00:25:59.437548+00:00
202410,2024,10,Oktober,provinsi,DI Yogyakarta,26824.59,3955.46,2026-08-31T00:25:59.437548+00:00
202411,2024,11,November,provinsi,DI Yogyakarta,6166.25,6447.34,2026-08-31T00:25:59.437548+00:00
202412,2024,12,Desember,provinsi,DI Yogyakarta,7458.97,9751.23,2026-08-31T00:25:59.437548+00:00
202501,2025,1,Januari,provinsi,DI Yogyakarta,11453.58,10372.64,2026-08-31T00:25:59.437548+00:00
202502,2025,2,Februari,provinsi,DI Yogyakarta,7921.35,20773.38,2026-08-31T00:25:59.437548+00:00
202503,2025,3,Maret,provinsi,DI Yogyakarta,12606.12,9605.15,2026-08-31T00:25:59.437548+00:00
202504,2025,4,April,provinsi,DI Yogyakarta,5946.19,9931.76,2026-08-31T00:25:59.437548+00:00
202505,2025,5,Mei,provinsi,DI Yogyakarta,5884.38,9249.97,2026-08-31T00:25:59.437548+00:00
202506,2025,6,Juni,provinsi,DI Yogyakarta,5406.48,14119.98,2026-08-31T00:25:59.437548+00:00
202507,2025,7,Juli,provinsi,DI Yogyakarta,11045.98,7569.58,2026-08-31T00:25:59.437548+00:00
202508,2025,8,Agustus,provinsi,DI Yogyakarta,10236.87,4595.43,2026-08-31T00:25:59.437548+00:00
202509,2025,9,September,provinsi,DI Yogyakarta,11496.57,5389.46,2026-08-31T00:25:59.437548+00:00
202510,2025,10,Oktober,provinsi,DI Yogyakarta,8847.85,7250.74,2026-08-31T00:25:59.437548+00:00
202511,2025,11,November,provinsi,DI Yogyakarta,8854.73,11765.79,2026-08-31T00:25:59.437548+00:00
202512,2025,12,Desember,provinsi,DI Yogyakarta,12901.96,8762.76,2026-08-31T00:25:59.437548+00:00
202601,2026,1,Januari,provinsi,DI Yogyakarta,8959.55,12493.46,2026-08-31T00:25:59.437548+00:00
202602,2026,2,Februari,provinsi,DI Yogyakarta,5607.15,10549.89,2026-08-31T00:25:59.437548+00:00
202603,2026,3,Maret,provinsi,DI Yogyakarta,5257.03,11012.13,2026-08-31T00:25:59.437548+00:00
202604,2026,4,April,provinsi,DI Yogyakarta,5446.67,13114.49,2026-08-31T00:25:59.437548+00:00
202605,2026,5,Mei,provinsi,DI Yogyakarta,6167.62,7881.87,2026-08-31T00:25:59.437548+00:00
202606,2026,6,Juni,provinsi,DI Yogyakarta,5430.72,6624.7,2026-08-31T00:25:59.437548+00:00
202607,2026,7,Juli,provinsi,DI Yogyakarta,11669.28,4186.65,2026-08-31T00:25:59.437548+00:00
