tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk,400gr,43000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk Balita,400gr,39500,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Kental Manis,370gr,17800,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Kampung,kg,40000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Ras,kg,26000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Tepung Terigu,Tepung Terigu,kg,12000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Tomat,Tomat,kg,20000,2026-08-31
2024-02-01,Kab. Gunungkidul,Pasar Argosari,Udang,Udang Basah,kg,82000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Bombai,kg,23000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Merah,kg,23000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Honan,kg,34000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Kating,kg,39000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Khusus,kg,21667,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Medium,kg,12668,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Premium,kg,15917,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras SPHP Bulog,kg,10800,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Besar,kg,82667,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Keriting,kg,47667,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Hijau,kg,36000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Merah,kg,32333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Kampung,ekor,105000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Tetelan,kg,70000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Bandeng,kg,44000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Teri,kg,39000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Tongkol,kg,39000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Jeruk,Jeruk Lokal,kg,21000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kacang Panjang,Kacang Panjang,kg,7000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Hijau,kg,23000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Tanah,kg,31000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kangkung,Kangkung,kg,6000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Impor,kg,11500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Lokal,kg,11500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tahu Putih,kg,16333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Curah,lt,14500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,21333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Sawi Hijau,Sawi Hijau,kg,8000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Kampung,kg,60333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Ras,kg,26000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Tomat,Tomat,kg,22000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Beringharjo,Udang,Udang Basah,kg,82333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Bombai,kg,28000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Merah,kg,24000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Honan,kg,35000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Kating,kg,41000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Khusus,kg,23000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Medium,kg,13067,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras SPHP Bulog,kg,10900,2026-08-31
