musim,tahun,suhu_permukaan_laut_c,anomali_nino34_c,status_enso,diambil_pada_utc
DJF,2008,24.92,-1.76,La Nina kuat,2026-08-30T08:49:44.396205+00:00
JFM,2008,25.29,-1.61,La Nina kuat,2026-08-30T08:49:44.396212+00:00
FMA,2008,25.97,-1.37,La Nina moderat,2026-08-30T08:49:44.396218+00:00
MAM,2008,26.69,-1.05,La Nina moderat,2026-08-30T08:49:44.396228+00:00
AMJ,2008,27.03,-0.85,La Nina lemah,2026-08-30T08:49:44.396234+00:00
MJJ,2008,27.13,-0.56,La Nina lemah,2026-08-30T08:49:44.396241+00:00
JJA,2008,26.99,-0.33,Netral,2026-08-30T08:49:44.396247+00:00
JAS,2008,26.78,-0.2,Netral,2026-08-30T08:49:44.396253+00:00
ASO,2008,26.55,-0.25,Netral,2026-08-30T08:49:44.396268+00:00
SON,2008,26.4,-0.36,Netral,2026-08-30T08:49:44.396275+00:00
OND,2008,26.15,-0.57,La Nina lemah,2026-08-30T08:49:44.396281+00:00
NDJ,2008,25.87,-0.79,La Nina lemah,2026-08-30T08:49:44.396287+00:00
DJF,2009,25.79,-0.89,La Nina lemah,2026-08-30T08:49:44.396294+00:00
JFM,2009,26.07,-0.84,La Nina lemah,2026-08-30T08:49:44.396300+00:00
FMA,2009,26.71,-0.63,La Nina lemah,2026-08-30T08:49:44.396306+00:00
MAM,2009,27.38,-0.35,Netral,2026-08-30T08:49:44.396312+00:00
AMJ,2009,27.91,0.03,Netral,2026-08-30T08:49:44.396319+00:00
MJJ,2009,28.03,0.34,Netral,2026-08-30T08:49:44.396325+00:00
JJA,2009,27.82,0.5,El Nino lemah,2026-08-30T08:49:44.396331+00:00
JAS,2009,27.55,0.56,El Nino lemah,2026-08-30T08:49:44.396337+00:00
ASO,2009,27.46,0.66,El Nino lemah,2026-08-30T08:49:44.396343+00:00
SON,2009,27.68,0.92,El Nino lemah,2026-08-30T08:49:44.396348+00:00
OND,2009,28.02,1.31,El Nino moderat,2026-08-30T08:49:44.396353+00:00
NDJ,2009,28.16,1.5,El Nino kuat,2026-08-30T08:49:44.396364+00:00
DJF,2010,28.15,1.47,El Nino moderat,2026-08-30T08:49:44.396370+00:00
JFM,2010,28.11,1.21,El Nino moderat,2026-08-30T08:49:44.396376+00:00
FMA,2010,28.22,0.88,El Nino lemah,2026-08-30T08:49:44.396381+00:00
MAM,2010,28.11,0.38,Netral,2026-08-30T08:49:44.396386+00:00
AMJ,2010,27.72,-0.16,Netral,2026-08-30T08:49:44.396392+00:00
MJJ,2010,27.03,-0.66,La Nina lemah,2026-08-30T08:49:44.396401+00:00
JJA,2010,26.34,-0.98,La Nina lemah,2026-08-30T08:49:44.396407+00:00
JAS,2010,25.74,-1.24,La Nina moderat,2026-08-30T08:49:44.396413+00:00
ASO,2010,25.37,-1.43,La Nina moderat,2026-08-30T08:49:44.396421+00:00
SON,2010,25.21,-1.54,La Nina kuat,2026-08-30T08:49:44.396428+00:00
OND,2010,25.14,-1.57,La Nina kuat,2026-08-30T08:49:44.396434+00:00
NDJ,2010,25.14,-1.48,La Nina moderat,2026-08-30T08:49:44.396440+00:00
DJF,2011,25.28,-1.29,La Nina moderat,2026-08-30T08:49:44.396446+00:00
JFM,2011,25.72,-1.06,La Nina moderat,2026-08-30T08:49:44.396453+00:00
FMA,2011,26.37,-0.85,La Nina lemah,2026-08-30T08:49:44.396458+00:00
MAM,2011,26.95,-0.68,La Nina lemah,2026-08-30T08:49:44.396465+00:00
AMJ,2011,27.29,-0.5,La Nina lemah,2026-08-30T08:49:44.396471+00:00
MJJ,2011,27.29,-0.34,Netral,2026-08-30T08:49:44.396477+00:00
JJA,2011,26.92,-0.37,Netral,2026-08-30T08:49:44.396488+00:00
JAS,2011,26.45,-0.5,La Nina lemah,2026-08-30T08:49:44.396494+00:00
ASO,2011,26.0,-0.76,La Nina lemah,2026-08-30T08:49:44.396501+00:00
SON,2011,25.77,-0.94,La Nina lemah,2026-08-30T08:49:44.396507+00:00
OND,2011,25.63,-1.02,La Nina moderat,2026-08-30T08:49:44.396513+00:00
NDJ,2011,25.64,-0.92,La Nina lemah,2026-08-30T08:49:44.396520+00:00
DJF,2012,25.84,-0.71,La Nina lemah,2026-08-30T08:49:44.396526+00:00
JFM,2012,26.22,-0.56,La Nina lemah,2026-08-30T08:49:44.396532+00:00
FMA,2012,26.79,-0.44,Netral,2026-08-30T08:49:44.396544+00:00
MAM,2012,27.29,-0.35,Netral,2026-08-30T08:49:44.396550+00:00
AMJ,2012,27.62,-0.18,Netral,2026-08-30T08:49:44.396556+00:00
MJJ,2012,27.66,0.03,Netral,2026-08-30T08:49:44.396561+00:00
JJA,2012,27.57,0.28,Netral,2026-08-30T08:49:44.396566+00:00
JAS,2012,27.35,0.39,Netral,2026-08-30T08:49:44.396571+00:00
ASO,2012,27.13,0.37,Netral,2026-08-30T08:49:44.396577+00:00
SON,2012,26.99,0.28,Netral,2026-08-30T08:49:44.396582+00:00
OND,2012,26.78,0.13,Netral,2026-08-30T08:49:44.396588+00:00
NDJ,2012,26.53,-0.03,Netral,2026-08-30T08:49:44.396593+00:00
DJF,2013,26.3,-0.24,Netral,2026-08-30T08:49:44.396599+00:00
JFM,2013,26.5,-0.28,Netral,2026-08-30T08:49:44.396604+00:00
FMA,2013,27.0,-0.23,Netral,2026-08-30T08:49:44.396613+00:00
MAM,2013,27.43,-0.2,Netral,2026-08-30T08:49:44.396619+00:00
AMJ,2013,27.49,-0.3,Netral,2026-08-30T08:49:44.396627+00:00
MJJ,2013,27.24,-0.38,Netral,2026-08-30T08:49:44.396634+00:00
JJA,2013,26.84,-0.45,Netral,2026-08-30T08:49:44.396640+00:00
JAS,2013,26.61,-0.34,Netral,2026-08-30T08:49:44.396651+00:00
ASO,2013,26.45,-0.32,Netral,2026-08-30T08:49:44.396657+00:00
SON,2013,26.57,-0.14,Netral,2026-08-30T08:49:44.396664+00:00
OND,2013,26.53,-0.12,Netral,2026-08-30T08:49:44.396669+00:00
NDJ,2013,26.45,-0.11,Netral,2026-08-30T08:49:44.396679+00:00
DJF,2014,26.31,-0.24,Netral,2026-08-30T08:49:44.396685+00:00
JFM,2014,26.57,-0.21,Netral,2026-08-30T08:49:44.396691+00:00
FMA,2014,27.21,-0.02,Netral,2026-08-30T08:49:44.396697+00:00
MAM,2014,27.88,0.25,Netral,2026-08-30T08:49:44.396702+00:00
AMJ,2014,28.14,0.35,Netral,2026-08-30T08:49:44.396707+00:00
MJJ,2014,27.84,0.22,Netral,2026-08-30T08:49:44.396712+00:00
JJA,2014,27.36,0.07,Netral,2026-08-30T08:49:44.396718+00:00
JAS,2014,27.03,0.07,Netral,2026-08-30T08:49:44.396724+00:00
ASO,2014,27.0,0.24,Netral,2026-08-30T08:49:44.396730+00:00
SON,2014,27.22,0.51,El Nino lemah,2026-08-30T08:49:44.396740+00:00
OND,2014,27.35,0.7,El Nino lemah,2026-08-30T08:49:44.396746+00:00
NDJ,2014,27.36,0.8,El Nino lemah,2026-08-30T08:49:44.396752+00:00
DJF,2015,27.28,0.73,El Nino lemah,2026-08-30T08:49:44.396759+00:00
JFM,2015,27.43,0.65,El Nino lemah,2026-08-30T08:49:44.396765+00:00
FMA,2015,27.95,0.72,El Nino lemah,2026-08-30T08:49:44.396771+00:00
MAM,2015,28.49,0.86,El Nino lemah,2026-08-30T08:49:44.396778+00:00
AMJ,2015,28.83,1.04,El Nino moderat,2026-08-30T08:49:44.396784+00:00
MJJ,2015,28.82,1.19,El Nino moderat,2026-08-30T08:49:44.396790+00:00
JJA,2015,28.73,1.44,El Nino moderat,2026-08-30T08:49:44.396796+00:00
JAS,2015,28.69,1.73,El Nino kuat,2026-08-30T08:49:44.396801+00:00
ASO,2015,28.79,2.02,El Nino sangat kuat,2026-08-30T08:49:44.396807+00:00
SON,2015,28.99,2.28,El Nino sangat kuat,2026-08-30T08:49:44.396817+00:00
OND,2015,29.1,2.45,El Nino sangat kuat,2026-08-30T08:49:44.396823+00:00
NDJ,2015,29.15,2.59,El Nino sangat kuat,2026-08-30T08:49:44.396832+00:00
DJF,2016,29.05,2.5,El Nino sangat kuat,2026-08-30T08:49:44.396838+00:00
JFM,2016,28.99,2.21,El Nino sangat kuat,2026-08-30T08:49:44.396844+00:00
FMA,2016,28.92,1.69,El Nino kuat,2026-08-30T08:49:44.396849+00:00
MAM,2016,28.74,1.11,El Nino moderat,2026-08-30T08:49:44.396855+00:00
AMJ,2016,28.37,0.57,El Nino lemah,2026-08-30T08:49:44.396862+00:00
MJJ,2016,27.72,0.09,Netral,2026-08-30T08:49:44.396871+00:00
JJA,2016,27.1,-0.19,Netral,2026-08-30T08:49:44.396877+00:00
JAS,2016,26.62,-0.34,Netral,2026-08-30T08:49:44.396883+00:00
ASO,2016,26.34,-0.42,Netral,2026-08-30T08:49:44.396888+00:00
SON,2016,26.2,-0.51,La Nina lemah,2026-08-30T08:49:44.396894+00:00
OND,2016,26.16,-0.49,Netral,2026-08-30T08:49:44.396900+00:00
NDJ,2016,26.19,-0.37,Netral,2026-08-30T08:49:44.396906+00:00
DJF,2017,26.47,-0.08,Netral,2026-08-30T08:49:44.396911+00:00
JFM,2017,26.86,0.08,Netral,2026-08-30T08:49:44.396917+00:00
FMA,2017,27.5,0.27,Netral,2026-08-30T08:49:44.396923+00:00
MAM,2017,27.95,0.32,Netral,2026-08-30T08:49:44.396928+00:00
AMJ,2017,28.15,0.35,Netral,2026-08-30T08:49:44.396934+00:00
MJJ,2017,27.94,0.32,Netral,2026-08-30T08:49:44.396940+00:00
JJA,2017,27.43,0.14,Netral,2026-08-30T08:49:44.396950+00:00
JAS,2017,26.89,-0.07,Netral,2026-08-30T08:49:44.396956+00:00
ASO,2017,26.54,-0.23,Netral,2026-08-30T08:49:44.396961+00:00
SON,2017,26.27,-0.44,Netral,2026-08-30T08:49:44.396967+00:00
OND,2017,26.04,-0.61,La Nina lemah,2026-08-30T08:49:44.396972+00:00
NDJ,2017,25.8,-0.76,La Nina lemah,2026-08-30T08:49:44.396978+00:00
DJF,2018,25.83,-0.71,La Nina lemah,2026-08-30T08:49:44.396987+00:00
JFM,2018,26.11,-0.67,La Nina lemah,2026-08-30T08:49:44.397018+00:00
FMA,2018,26.68,-0.55,La Nina lemah,2026-08-30T08:49:44.397027+00:00
MAM,2018,27.28,-0.35,Netral,2026-08-30T08:49:44.397033+00:00
AMJ,2018,27.72,-0.07,Netral,2026-08-30T08:49:44.397039+00:00
MJJ,2018,27.76,0.13,Netral,2026-08-30T08:49:44.397044+00:00
JJA,2018,27.49,0.2,Netral,2026-08-30T08:49:44.397050+00:00
JAS,2018,27.25,0.3,Netral,2026-08-30T08:49:44.397061+00:00
ASO,2018,27.28,0.52,El Nino lemah,2026-08-30T08:49:44.397067+00:00
SON,2018,27.53,0.82,El Nino lemah,2026-08-30T08:49:44.397077+00:00
OND,2018,27.69,1.04,El Nino moderat,2026-08-30T08:49:44.397083+00:00
NDJ,2018,27.61,1.05,El Nino moderat,2026-08-30T08:49:44.397098+00:00
DJF,2019,27.54,0.99,El Nino lemah,2026-08-30T08:49:44.397104+00:00
JFM,2019,27.72,0.94,El Nino lemah,2026-08-30T08:49:44.397111+00:00
FMA,2019,28.1,0.87,El Nino lemah,2026-08-30T08:49:44.397117+00:00
MAM,2019,28.45,0.82,El Nino lemah,2026-08-30T08:49:44.397127+00:00
AMJ,2019,28.5,0.71,El Nino lemah,2026-08-30T08:49:44.397134+00:00
MJJ,2019,28.21,0.59,El Nino lemah,2026-08-30T08:49:44.397140+00:00
JJA,2019,27.67,0.38,Netral,2026-08-30T08:49:44.397147+00:00
JAS,2019,27.16,0.2,Netral,2026-08-30T08:49:44.397153+00:00
ASO,2019,27.07,0.31,Netral,2026-08-30T08:49:44.397162+00:00
SON,2019,27.22,0.51,El Nino lemah,2026-08-30T08:49:44.397168+00:00
OND,2019,27.37,0.72,El Nino lemah,2026-08-30T08:49:44.397173+00:00
NDJ,2019,27.31,0.75,El Nino lemah,2026-08-30T08:49:44.397179+00:00
DJF,2020,27.25,0.71,El Nino lemah,2026-08-30T08:49:44.397185+00:00
JFM,2020,27.44,0.66,El Nino lemah,2026-08-30T08:49:44.397191+00:00
FMA,2020,27.8,0.57,El Nino lemah,2026-08-30T08:49:44.397197+00:00
MAM,2020,27.97,0.33,Netral,2026-08-30T08:49:44.397203+00:00
AMJ,2020,27.83,0.04,Netral,2026-08-30T08:49:44.397209+00:00
MJJ,2020,27.45,-0.18,Netral,2026-08-30T08:49:44.397214+00:00
JJA,2020,27.0,-0.29,Netral,2026-08-30T08:49:44.397221+00:00
JAS,2020,26.52,-0.43,Netral,2026-08-30T08:49:44.397226+00:00
ASO,2020,25.99,-0.77,La Nina lemah,2026-08-30T08:49:44.397233+00:00
SON,2020,25.71,-1.0,La Nina moderat,2026-08-30T08:49:44.397238+00:00
OND,2020,25.54,-1.11,La Nina moderat,2026-08-30T08:49:44.397244+00:00
NDJ,2020,25.5,-1.06,La Nina moderat,2026-08-30T08:49:44.397249+00:00
DJF,2021,25.55,-0.99,La Nina lemah,2026-08-30T08:49:44.397255+00:00
JFM,2021,25.92,-0.85,La Nina lemah,2026-08-30T08:49:44.397266+00:00
FMA,2021,26.48,-0.74,La Nina lemah,2026-08-30T08:49:44.397272+00:00
MAM,2021,27.07,-0.56,La Nina lemah,2026-08-30T08:49:44.397283+00:00
AMJ,2021,27.39,-0.4,Netral,2026-08-30T08:49:44.397289+00:00
MJJ,2021,27.31,-0.31,Netral,2026-08-30T08:49:44.397294+00:00
JJA,2021,26.95,-0.35,Netral,2026-08-30T08:49:44.397300+00:00
JAS,2021,26.49,-0.46,Netral,2026-08-30T08:49:44.397306+00:00
ASO,2021,26.13,-0.64,La Nina lemah,2026-08-30T08:49:44.397312+00:00
SON,2021,25.94,-0.77,La Nina lemah,2026-08-30T08:49:44.397318+00:00
OND,2021,25.74,-0.91,La Nina lemah,2026-08-30T08:49:44.397324+00:00
NDJ,2021,25.73,-0.83,La Nina lemah,2026-08-30T08:49:44.397330+00:00
DJF,2022,25.79,-0.76,La Nina lemah,2026-08-30T08:49:44.397335+00:00
JFM,2022,26.09,-0.68,La Nina lemah,2026-08-30T08:49:44.397341+00:00
FMA,2022,26.46,-0.77,La Nina lemah,2026-08-30T08:49:44.397347+00:00
MAM,2022,26.77,-0.86,La Nina lemah,2026-08-30T08:49:44.397353+00:00
AMJ,2022,26.96,-0.83,La Nina lemah,2026-08-30T08:49:44.397359+00:00
MJJ,2022,26.9,-0.73,La Nina lemah,2026-08-30T08:49:44.397364+00:00
JJA,2022,26.59,-0.7,La Nina lemah,2026-08-30T08:49:44.397370+00:00
JAS,2022,26.18,-0.78,La Nina lemah,2026-08-30T08:49:44.397377+00:00
ASO,2022,25.89,-0.87,La Nina lemah,2026-08-30T08:49:44.397383+00:00
SON,2022,25.82,-0.89,La Nina lemah,2026-08-30T08:49:44.397389+00:00
OND,2022,25.83,-0.82,La Nina lemah,2026-08-30T08:49:44.397400+00:00
NDJ,2022,25.86,-0.7,La Nina lemah,2026-08-30T08:49:44.397409+00:00
DJF,2023,26.0,-0.55,La Nina lemah,2026-08-30T08:49:44.397415+00:00
JFM,2023,26.45,-0.33,Netral,2026-08-30T08:49:44.397422+00:00
FMA,2023,27.12,-0.11,Netral,2026-08-30T08:49:44.397428+00:00
MAM,2023,27.82,0.19,Netral,2026-08-30T08:49:44.397435+00:00
AMJ,2023,28.25,0.46,Netral,2026-08-30T08:49:44.397441+00:00
MJJ,2023,28.36,0.73,El Nino lemah,2026-08-30T08:49:44.397446+00:00
JJA,2023,28.29,1.0,El Nino moderat,2026-08-30T08:49:44.397479+00:00
JAS,2023,28.21,1.25,El Nino moderat,2026-08-30T08:49:44.397487+00:00
ASO,2023,28.26,1.5,El Nino kuat,2026-08-30T08:49:44.397494+00:00
SON,2023,28.45,1.74,El Nino kuat,2026-08-30T08:49:44.397500+00:00
OND,2023,28.55,1.9,El Nino kuat,2026-08-30T08:49:44.397507+00:00
NDJ,2023,28.55,1.99,El Nino kuat,2026-08-30T08:49:44.397518+00:00
DJF,2024,28.38,1.84,El Nino kuat,2026-08-30T08:49:44.397525+00:00
JFM,2024,28.3,1.53,El Nino kuat,2026-08-30T08:49:44.397531+00:00
FMA,2024,28.4,1.18,El Nino moderat,2026-08-30T08:49:44.397538+00:00
MAM,2024,28.4,0.77,El Nino lemah,2026-08-30T08:49:44.397544+00:00
AMJ,2024,28.23,0.43,Netral,2026-08-30T08:49:44.397551+00:00
MJJ,2024,27.8,0.18,Netral,2026-08-30T08:49:44.397557+00:00
JJA,2024,27.35,0.06,Netral,2026-08-30T08:49:44.397568+00:00
JAS,2024,26.92,-0.04,Netral,2026-08-30T08:49:44.397578+00:00
ASO,2024,26.64,-0.12,Netral,2026-08-30T08:49:44.397583+00:00
SON,2024,26.52,-0.19,Netral,2026-08-30T08:49:44.397588+00:00
OND,2024,26.35,-0.29,Netral,2026-08-30T08:49:44.397593+00:00
NDJ,2024,26.13,-0.43,Netral,2026-08-30T08:49:44.397598+00:00
DJF,2025,26.09,-0.46,Netral,2026-08-30T08:49:44.397603+00:00
JFM,2025,26.56,-0.22,Netral,2026-08-30T08:49:44.397609+00:00
FMA,2025,27.15,-0.08,Netral,2026-08-30T08:49:44.397614+00:00
MAM,2025,27.65,0.02,Netral,2026-08-30T08:49:44.397620+00:00
AMJ,2025,27.76,-0.04,Netral,2026-08-30T08:49:44.397626+00:00
MJJ,2025,27.61,-0.02,Netral,2026-08-30T08:49:44.397632+00:00
JJA,2025,27.18,-0.11,Netral,2026-08-30T08:49:44.397637+00:00
JAS,2025,26.7,-0.26,Netral,2026-08-30T08:49:44.397643+00:00
ASO,2025,26.33,-0.43,Netral,2026-08-30T08:49:44.397648+00:00
SON,2025,26.14,-0.57,La Nina lemah,2026-08-30T08:49:44.397654+00:00
OND,2025,26.04,-0.61,La Nina lemah,2026-08-30T08:49:44.397660+00:00
NDJ,2025,25.96,-0.6,La Nina lemah,2026-08-30T08:49:44.397665+00:00
DJF,2026,26.15,-0.39,Netral,2026-08-30T08:49:44.397671+00:00
JFM,2026,26.57,-0.21,Netral,2026-08-30T08:49:44.397676+00:00
FMA,2026,27.34,0.11,Netral,2026-08-30T08:49:44.397684+00:00
MAM,2026,28.09,0.46,Netral,2026-08-30T08:49:44.397690+00:00
AMJ,2026,28.74,0.95,El Nino lemah,2026-08-30T08:49:44.397698+00:00
MJJ,2026,29.02,1.39,El Nino moderat,2026-08-30T08:49:44.397703+00:00
JJA,2026,29.09,1.8,El Nino kuat,2026-09-03T23:33:59.119444+00:00
