periode,periode_mulai,periode_selesai,provinsi,kabupaten_kota,kecamatan,kode_wilayah,bera_ha,persiapan_lahan_ha,tanam_ha,vegetatif_1_ha,vegetatif_2_ha,generatif_1_ha,generatif_2_ha,panen_ha,total_luas_ha,sumber_layer,diambil_pada_utc
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Ngampilan,347106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Wirobrajan,347107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Mantrijeron,347108,0.183,0.046,0.0,0.0,0.0,0.138,0.046,0.0,0.413,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Kraton,347109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Gondomanan,347110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Pakualaman,347111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Mergangsan,347112,1.954,0.095,0.0,0.048,0.0,0.0,0.048,1.239,3.384,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Umbulharjo,347113,5.6,0.878,0.933,0.384,0.165,1.263,1.263,2.91,13.396,simontadi2/16,2026-08-30T16:43:22.197914+00:00
26 Maret - 6 April 2026,2026-03-26,2026-04-06,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Kotagede,347114,0.885,0.419,0.047,0.279,0.047,0.326,0.233,0.373,2.609,simontadi2/16,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Temon,340101,767.276,140.509,60.534,11.179,6.098,5.7,83.863,125.177,1200.336,simontadi2/18,2026-08-30T16:43:22.197914+00:00
