tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-02,Ikan Teri,52333.0,24090.1,3,kg,Ikan
2024-02-02,Ikan Tongkol,34333.0,1154.7,3,kg,Ikan
2024-02-02,Jeruk Lokal,21000.0,1000.0,3,kg,Jeruk
2024-02-02,Kacang Hijau,23000.0,1000.0,3,kg,Kacang-Kacangan
2024-02-02,Kacang Panjang,8333.0,1527.5,3,kg,Kacang Panjang
2024-02-02,Kacang Tanah,30333.0,2081.7,3,kg,Kacang-Kacangan
2024-02-02,Kangkung,7333.0,2309.4,3,kg,Kangkung
2024-02-02,Kedelai Impor,12333.0,763.8,3,kg,Kedelai
2024-02-02,Kedelai Lokal,14667.0,4645.8,3,kg,Kedelai
2024-02-02,Kentang Sedang,20000.0,1000.0,3,kg,Kentang
2024-02-02,Ketela Pohon,7000.0,0.0,3,kg,Ketela Pohon
2024-02-02,Ketimun Sedang,6333.0,577.4,3,kg,Ketimun
2024-02-02,Mie Instan,3133.0,230.9,3,bks,Mie Instan
2024-02-02,Minyak Goreng Sawit Curah,15000.0,866.0,3,lt,Minyak Sawit
2024-02-02,Minyak Goreng Sawit Kemasan Premium,18778.0,2269.0,3,lt,Minyak Sawit
2024-02-02,Minyakita,15000.0,0.0,3,lt,Minyak Sawit
2024-02-02,Pisang Lokal,17333.0,4041.5,3,kg,Pisang
2024-02-02,Sawi Hijau,8667.0,1154.7,3,kg,Sawi Hijau
2024-02-02,Susu Bubuk,43000.0,,1,400gr,Susu
2024-02-02,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-02,Susu Kental Manis,14267.0,3060.0,3,370gr,Susu
2024-02-02,Tahu Putih,14778.0,2411.4,3,kg,Kedelai
2024-02-02,Telur Ayam Kampung,54111.0,12249.0,3,kg,Telur Ayam
2024-02-02,Telur Ayam Ras,26167.0,288.7,3,kg,Telur Ayam
2024-02-02,Tempe Bungkus,15333.0,2020.7,3,kg,Kedelai
2024-02-02,Tepung Terigu,10667.0,1154.7,3,kg,Tepung Terigu
2024-02-02,Tomat,21667.0,1527.5,3,kg,Tomat
2024-02-02,Udang Basah,82333.0,333.3,3,kg,Udang
2024-02-05,Bawang Bombai,25333.0,577.4,3,kg,Bawang
2024-02-05,Bawang Merah,23222.0,1575.3,3,kg,Bawang
2024-02-05,Bawang Putih Honan,33667.0,1527.5,3,kg,Bawang
2024-02-05,Bawang Putih Kating,39333.0,577.4,3,kg,Bawang
2024-02-05,Beras Khusus,22083.0,589.3,2,kg,Beras
2024-02-05,Beras Medium,13739.0,1139.5,3,kg,Beras
2024-02-05,Beras Premium,16458.0,766.0,2,kg,Beras
2024-02-05,Beras SPHP Bulog,10867.0,57.7,3,kg,Beras
2024-02-05,Cabai Merah Besar,65667.0,13796.1,3,kg,Cabai
2024-02-05,Cabai Merah Keriting,50333.0,22030.3,3,kg,Cabai
2024-02-05,Cabai Rawit Hijau,36667.0,2081.7,3,kg,Cabai
2024-02-05,Cabai Rawit Merah,40333.0,5033.2,3,kg,Cabai
2024-02-05,Daging Ayam Kampung,100333.0,8962.9,3,ekor,Daging Ayam
2024-02-05,Daging Ayam Ras,34333.0,577.4,3,kg,Daging Ayam
2024-02-05,Daging Sapi Paha Belakang,131667.0,2886.8,3,kg,Daging Ruminansia
2024-02-05,Daging Sapi Paha Depan,121667.0,18929.7,3,kg,Daging Ruminansia
2024-02-05,Daging Sapi Sandung Lamur,81667.0,2886.8,3,kg,Daging Ruminansia
2024-02-05,Daging Sapi Tetelan,55000.0,21213.2,2,kg,Daging Ruminansia
2024-02-05,Garam Halus,12333.0,577.4,3,kg,Garam
2024-02-05,Gula Pasir Curah,16833.0,288.7,3,kg,Gula
2024-02-05,Gula Pasir Kemasan,17667.0,577.4,3,kg,Gula
2024-02-05,Ikan Bandeng,40667.0,5773.5,3,kg,Ikan
2024-02-05,Ikan Teri,55333.0,21455.4,3,kg,Ikan
2024-02-05,Ikan Tongkol,34333.0,1154.7,3,kg,Ikan
2024-02-05,Jeruk Lokal,21000.0,1000.0,3,kg,Jeruk
2024-02-05,Kacang Hijau,23000.0,1000.0,3,kg,Kacang-Kacangan
2024-02-05,Kacang Panjang,8333.0,1527.5,3,kg,Kacang Panjang
2024-02-05,Kacang Tanah,30333.0,2081.7,3,kg,Kacang-Kacangan
2024-02-05,Kangkung,7000.0,1732.1,3,kg,Kangkung
2024-02-05,Kedelai Impor,12333.0,763.8,3,kg,Kedelai
2024-02-05,Kedelai Lokal,14667.0,4645.8,3,kg,Kedelai
2024-02-05,Kentang Sedang,20000.0,1000.0,3,kg,Kentang
2024-02-05,Ketela Pohon,7000.0,0.0,3,kg,Ketela Pohon
2024-02-05,Ketimun Sedang,6000.0,1000.0,3,kg,Ketimun
2024-02-05,Mie Instan,3133.0,230.9,3,bks,Mie Instan
2024-02-05,Minyak Goreng Sawit Curah,15333.0,577.4,3,lt,Minyak Sawit
2024-02-05,Minyak Goreng Sawit Kemasan Premium,18722.0,2658.0,3,lt,Minyak Sawit
2024-02-05,Minyakita,15000.0,0.0,3,lt,Minyak Sawit
2024-02-05,Pisang Lokal,17333.0,4041.5,3,kg,Pisang
2024-02-05,Sawi Hijau,8333.0,577.4,3,kg,Sawi Hijau
2024-02-05,Susu Bubuk,43000.0,,1,400gr,Susu
2024-02-05,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-05,Susu Kental Manis,14267.0,3060.0,3,370gr,Susu
2024-02-05,Tahu Putih,14500.0,2179.4,3,kg,Kedelai
2024-02-05,Telur Ayam Kampung,54333.0,12423.1,3,kg,Telur Ayam
2024-02-05,Telur Ayam Ras,26500.0,500.0,3,kg,Telur Ayam
2024-02-05,Tempe Bungkus,15333.0,2020.7,3,kg,Kedelai
2024-02-05,Tepung Terigu,10667.0,1154.7,3,kg,Tepung Terigu
2024-02-05,Tomat,21667.0,1527.5,3,kg,Tomat
2024-02-05,Udang Basah,81333.0,577.4,3,kg,Udang
