# Unnamed: 0_level_1,Tanggal Unnamed: 1_level_1,Komoditas Bawang Merah Bawang Putih Bonggol Beras Medium Beras premium Beras SPHP Brokoli Cabe Merah Besar Cabe Merah Keriting Cabe Rawit Merah Daging Ayam Ras Daging Sapi Murni Gula Pasir Konsumsi Jagung Pipilan Kering Kacang Panjang Kedelai Biji Kering (Impor) Minyak Goreng Kemasan Pakcoy Sawi Putih Telur Ayam Ras Tepung Terigu Kemasan Terong Timun Tomat Wortel,Harga (Rp/Kg) Unnamed: 3_level_1
1796,2025-09-25,Minyak Goreng Curah,17250
1797,2025-09-22,Beras Medium,12875
1798,2025-09-22,Gula Pasir Konsumsi,16929
1799,2025-09-22,Minyak Goreng Kemasan,18286
1800,2025-09-22,Daging Ayam Ras,37667
1801,2025-09-22,Telur Ayam Ras,28333
1802,2025-09-22,Daging Sapi Murni,130000
1803,2025-09-22,Bawang Merah,29000
1804,2025-09-22,Cabe Merah Keriting,53750
1805,2025-09-22,Cabe Merah Besar,43750
1806,2025-09-22,Kedelai Biji Kering (Impor),9200
1807,2025-09-22,Terigu,9000
1808,2025-09-22,Bawang Putih Bonggol,29200
1809,2025-09-22,Cabe Rawit Merah,38250
1810,2025-09-22,Beras premium,14500
1811,2025-09-22,Minyak Goreng Curah,17167
1812,2025-09-18,Beras Medium,12875
1813,2025-09-18,Gula Pasir Konsumsi,16833
1814,2025-09-18,Minyak Goreng Kemasan,18000
1815,2025-09-18,Daging Ayam Ras,37667
1816,2025-09-18,Telur Ayam Ras,28667
1817,2025-09-18,Daging Sapi Murni,130000
1818,2025-09-18,Bawang Merah,29000
1819,2025-09-18,Cabe Merah Keriting,51750
1820,2025-09-18,Cabe Merah Besar,41250
1821,2025-09-18,Kedelai Biji Kering (Impor),9000
1822,2025-09-18,Terigu,9000
1823,2025-09-18,Bawang Putih Bonggol,29000
1824,2025-09-18,Cabe Rawit Merah,31250
1825,2025-09-18,Beras premium,14500
1826,2025-09-18,Minyak Goreng Curah,17250
1827,2025-09-15,Beras Medium,12875
1828,2025-09-15,Gula Pasir Konsumsi,16929
1829,2025-09-15,Minyak Goreng Kemasan,18286
1830,2025-09-15,Daging Ayam Ras,37333
1831,2025-09-15,Telur Ayam Ras,28333
1832,2025-09-15,Daging Sapi Murni,130000
1833,2025-09-15,Bawang Merah,29000
1834,2025-09-15,Cabe Merah Keriting,50000
1835,2025-09-15,Cabe Merah Besar,38750
1836,2025-09-15,Kedelai Biji Kering (Impor),9000
1837,2025-09-15,Terigu,9000
1838,2025-09-15,Bawang Putih Bonggol,29000
1839,2025-09-15,Cabe Rawit Merah,31250
1840,2025-09-15,Beras premium,14500
1841,2025-09-15,Minyak Goreng Curah,17250
1842,2025-09-11,Beras Medium,12875
1843,2025-09-11,Gula Pasir Konsumsi,16857
1844,2025-09-11,Minyak Goreng Kemasan,18286
1845,2025-09-11,Daging Ayam Ras,37333
1846,2025-09-11,Telur Ayam Ras,28333
1847,2025-09-11,Daging Sapi Murni,130000
1848,2025-09-11,Bawang Merah,29000
1849,2025-09-11,Cabe Merah Keriting,38250
1850,2025-09-11,Cabe Merah Besar,32500
1851,2025-09-11,Kedelai Biji Kering (Impor),9200
1852,2025-09-11,Terigu,9000
1853,2025-09-11,Bawang Putih Bonggol,29000
1854,2025-09-11,Cabe Rawit Merah,28750
1855,2025-09-11,Beras premium,14500
1856,2025-09-11,Minyak Goreng Curah,17250
1857,2025-09-09,Daging Ayam Ras,36667
1858,2025-09-09,Telur Ayam Ras,26667
1859,2025-09-09,Daging Sapi Murni,130000
1860,2025-09-09,Bawang Merah,30000
1861,2025-09-08,Beras Medium,12875
1862,2025-09-08,Gula Pasir Konsumsi,17143
1863,2025-09-08,Minyak Goreng Kemasan,18286
1864,2025-09-08,Daging Ayam Ras,36333
1865,2025-09-08,Telur Ayam Ras,26667
1866,2025-09-08,Daging Sapi Murni,130000
1867,2025-09-08,Bawang Merah,29750
1868,2025-09-08,Cabe Merah Keriting,40000
1869,2025-09-08,Cabe Merah Besar,37500
1870,2025-09-08,Kedelai Biji Kering (Impor),9200
1871,2025-09-08,Terigu,9000
1872,2025-09-08,Bawang Putih Bonggol,28500
1873,2025-09-08,Cabe Rawit Merah,28750
1874,2025-09-08,Beras premium,14500
1875,2025-09-08,Minyak Goreng Curah,17167
1876,2025-09-04,Beras Medium,12875
1877,2025-09-04,Gula Pasir Konsumsi,17000
1878,2025-09-04,Minyak Goreng Kemasan,18286
1879,2025-09-04,Daging Ayam Ras,33333
1880,2025-09-04,Telur Ayam Ras,26667
1881,2025-09-04,Daging Sapi Murni,130000
1882,2025-09-04,Bawang Merah,31500
1883,2025-09-04,Cabe Merah Keriting,36250
1884,2025-09-04,Cabe Merah Besar,31250
1885,2025-09-04,Kedelai Biji Kering (Impor),9200
1886,2025-09-04,Terigu,9000
1887,2025-09-04,Bawang Putih Bonggol,29200
1888,2025-09-04,Cabe Rawit Merah,24250
1889,2025-09-04,Beras premium,14500
1890,2025-09-04,Minyak Goreng Curah,17250
1891,2025-09-01,Beras Medium,12875
1892,2025-09-01,Gula Pasir Konsumsi,17143
1893,2025-09-01,Minyak Goreng Kemasan,18286
1894,2025-09-01,Daging Ayam Ras,33333
1895,2025-09-01,Telur Ayam Ras,27000
1896,2025-09-01,Daging Sapi Murni,130000
1897,2025-09-01,Bawang Merah,35250
1898,2025-09-01,Cabe Merah Keriting,33250
1899,2025-09-01,Cabe Merah Besar,29500
1900,2025-09-01,Kedelai Biji Kering (Impor),9200
1901,2025-09-01,Terigu,9000
1902,2025-09-01,Bawang Putih Bonggol,29000
1903,2025-09-01,Cabe Rawit Merah,20000
1904,2025-09-01,Beras premium,14500
1905,2025-09-01,Minyak Goreng Curah,17167
1906,2025-08-25,Beras Medium,13000
1907,2025-08-25,Gula Pasir Konsumsi,17214
1908,2025-08-25,Minyak Goreng Kemasan,18286
1909,2025-08-25,Daging Ayam Ras,33000
1910,2025-08-25,Telur Ayam Ras,27000
1911,2025-08-25,Daging Sapi Murni,130000
1912,2025-08-25,Bawang Merah,35250
1913,2025-08-25,Cabe Merah Keriting,25000
1914,2025-08-25,Cabe Merah Besar,32500
1915,2025-08-25,Kedelai Biji Kering (Impor),9200
1916,2025-08-25,Terigu,11000
1917,2025-08-25,Bawang Putih Bonggol,39200
1918,2025-08-25,Cabe Rawit Merah,21250
1919,2025-08-25,Beras premium,14500
1920,2025-08-25,Minyak Goreng Curah,17250
1921,2025-08-21,Beras Medium,13000
1922,2025-08-21,Gula Pasir Konsumsi,17214
1923,2025-08-21,Minyak Goreng Kemasan,18286
1924,2025-08-21,Daging Ayam Ras,31000
1925,2025-08-21,Telur Ayam Ras,27000
1926,2025-08-21,Daging Sapi Murni,130000
1927,2025-08-21,Bawang Merah,43000
1928,2025-08-21,Cabe Merah Keriting,27500
1929,2025-08-21,Cabe Merah Besar,31250
1930,2025-08-21,Kedelai Biji Kering (Impor),9200
1931,2025-08-21,Terigu,9000
1932,2025-08-21,Bawang Putih Bonggol,29200
1933,2025-08-21,Cabe Rawit Merah,23750
1934,2025-08-21,Beras premium,14500
1935,2025-08-21,Minyak Goreng Curah,17250
1936,2025-08-18,Beras Medium,13000
1937,2025-08-18,Gula Pasir Konsumsi,17214
1938,2025-08-18,Minyak Goreng Kemasan,18286
1939,2025-08-18,Daging Ayam Ras,31000
1940,2025-08-18,Telur Ayam Ras,27000
1941,2025-08-18,Daging Sapi Murni,130000
1942,2025-08-18,Bawang Merah,45250
1943,2025-08-18,Cabe Merah Keriting,28750
1944,2025-08-18,Cabe Merah Besar,33750
1945,2025-08-18,Kedelai Biji Kering (Impor),9200
1946,2025-08-18,Terigu,9000
1947,2025-08-18,Bawang Putih Bonggol,29000
1948,2025-08-18,Cabe Rawit Merah,23750
1949,2025-08-18,Beras premium,14500
1950,2025-08-18,Minyak Goreng Curah,17250
1951,2025-08-14,Beras Medium,13000
1952,2025-08-14,Gula Pasir Konsumsi,17214
1953,2025-08-14,Minyak Goreng Kemasan,18286
1954,2025-08-14,Daging Ayam Ras,31000
1955,2025-08-14,Telur Ayam Ras,27333
1956,2025-08-14,Daging Sapi Murni,130000
1957,2025-08-14,Bawang Merah,45500
1958,2025-08-14,Cabe Merah Keriting,28750
1959,2025-08-14,Cabe Merah Besar,33750
1960,2025-08-14,Kedelai Biji Kering (Impor),9200
1961,2025-08-14,Terigu,9000
1962,2025-08-14,Bawang Putih Bonggol,29200
1963,2025-08-14,Cabe Rawit Merah,22500
1964,2025-08-14,Beras premium,14500
1965,2025-08-14,Minyak Goreng Curah,17000
1966,2025-08-07,Beras Medium,13000
1967,2025-08-07,Gula Pasir Konsumsi,17214
1968,2025-08-07,Minyak Goreng Kemasan,18214
1969,2025-08-07,Daging Ayam Ras,31000
1970,2025-08-07,Telur Ayam Ras,27667
1971,2025-08-07,Daging Sapi Murni,130000
1972,2025-08-07,Bawang Merah,46750
1973,2025-08-07,Cabe Merah Keriting,33750
1974,2025-08-07,Cabe Merah Besar,38750
1975,2025-08-07,Kedelai Biji Kering (Impor),9200
1976,2025-08-07,Terigu,9000
1977,2025-08-07,Bawang Putih Bonggol,29000
1978,2025-08-07,Cabe Rawit Merah,28750
1979,2025-08-07,Beras premium,14500
1980,2025-08-07,Minyak Goreng Curah,17000
1981,2025-07-31,Beras Medium,12500
1982,2025-07-31,Gula Pasir Konsumsi,17214
1983,2025-07-31,Minyak Goreng Kemasan,18286
1984,2025-07-31,Daging Ayam Ras,31000
1985,2025-07-31,Telur Ayam Ras,27667
1986,2025-07-31,Daging Sapi Murni,130000
1987,2025-07-31,Bawang Merah,46750
1988,2025-07-31,Cabe Merah Keriting,26250
1989,2025-07-31,Cabe Merah Besar,33750
1990,2025-07-31,Kedelai Biji Kering (Impor),9200
1991,2025-07-31,Terigu,11000
1992,2025-07-31,Bawang Putih Bonggol,29000
1993,2025-07-31,Cabe Rawit Merah,27500
1994,2025-07-31,Beras premium,14550
1995,2025-07-31,Minyak Goreng Curah,17000
1996,2025-07-28,Beras Medium,12500
1997,2025-07-28,Gula Pasir Konsumsi,17214
1998,2025-07-28,Minyak Goreng Kemasan,18286
1999,2025-07-28,Daging Ayam Ras,31000
2000,2025-07-28,Telur Ayam Ras,27667
2001,2025-07-28,Daging Sapi Murni,130000
2002,2025-07-28,Bawang Merah,46750
2003,2025-07-28,Cabe Merah Keriting,27500
2004,2025-07-28,Cabe Merah Besar,26750
2005,2025-07-28,Kedelai Biji Kering (Impor),9200
2006,2025-07-28,Terigu,11000
2007,2025-07-28,Bawang Putih Bonggol,29000
2008,2025-07-28,Cabe Rawit Merah,28750
2009,2025-07-28,Beras premium,14550
2010,2025-07-28,Minyak Goreng Curah,17000
2011,2025-07-24,Beras Medium,12500
2012,2025-07-24,Gula Pasir Konsumsi,17357
2013,2025-07-24,Minyak Goreng Kemasan,18286
2014,2025-07-24,Daging Ayam Ras,31000
2015,2025-07-24,Telur Ayam Ras,28333
2016,2025-07-24,Daging Sapi Murni,130000
2017,2025-07-24,Bawang Merah,46750
2018,2025-07-24,Cabe Merah Keriting,28750
2019,2025-07-24,Cabe Merah Besar,28750
2020,2025-07-24,Kedelai Biji Kering (Impor),9200
2021,2025-07-24,Terigu,9000
2022,2025-07-24,Bawang Putih Bonggol,29000
2023,2025-07-24,Cabe Rawit Merah,33750
2024,2025-07-24,Beras premium,14550
2025,2025-07-24,Minyak Goreng Curah,17000
2026,2025-07-21,Beras Medium,12500
2027,2025-07-21,Gula Pasir Konsumsi,17429
2028,2025-07-21,Minyak Goreng Kemasan,18286
2029,2025-07-21,Daging Ayam Ras,31000
2030,2025-07-21,Telur Ayam Ras,28333
2031,2025-07-21,Daging Sapi Murni,130000
2032,2025-07-21,Bawang Merah,41750
2033,2025-07-21,Cabe Merah Keriting,28750
2034,2025-07-21,Cabe Merah Besar,32500
2035,2025-07-21,Kedelai Biji Kering (Impor),9600
2036,2025-07-21,Terigu,9000
2037,2025-07-21,Bawang Putih Bonggol,29000
2038,2025-07-21,Cabe Rawit Merah,33750
2039,2025-07-21,Beras premium,14557
2040,2025-07-21,Minyak Goreng Curah,17000
2041,2025-07-17,Beras Medium,12500
2042,2025-07-17,Gula Pasir Konsumsi,17500
2043,2025-07-17,Minyak Goreng Kemasan,18000
2044,2025-07-17,Daging Ayam Ras,31667
2045,2025-07-17,Telur Ayam Ras,28750
2046,2025-07-17,Daging Sapi Murni,130000
2047,2025-07-17,Bawang Merah,39000
2048,2025-07-17,Cabe Merah Keriting,32500
2049,2025-07-17,Cabe Merah Besar,33750
2050,2025-07-17,Kedelai Biji Kering (Impor),9600
2051,2025-07-17,Terigu,9000
2052,2025-07-17,Bawang Putih Bonggol,29000
2053,2025-07-17,Cabe Rawit Merah,42500
2054,2025-07-17,Beras premium,14500
2055,2025-07-17,Minyak Goreng Curah,16500
2056,2025-07-14,Beras Medium,12500
2057,2025-07-14,Gula Pasir Konsumsi,17500
2058,2025-07-14,Minyak Goreng Kemasan,18000
2059,2025-07-14,Daging Ayam Ras,31667
2060,2025-07-14,Telur Ayam Ras,28800
2061,2025-07-14,Daging Sapi Murni,130000
2062,2025-07-14,Bawang Merah,41800
2063,2025-07-14,Cabe Merah Keriting,34250
2064,2025-07-14,Cabe Merah Besar,37500
2065,2025-07-14,Kedelai Biji Kering (Impor),9600
2066,2025-07-14,Terigu,9000
2067,2025-07-14,Bawang Putih Bonggol,39200
2068,2025-07-14,Cabe Rawit Merah,58000
2069,2025-07-14,Beras premium,14500
2070,2025-07-14,Minyak Goreng Curah,16750
2071,2025-07-10,Beras Medium,13000
2072,2025-07-10,Gula Pasir Konsumsi,17500
2073,2025-07-10,Minyak Goreng Kemasan,18000
2074,2025-07-10,Daging Ayam Ras,31667
2075,2025-07-10,Telur Ayam Ras,28000
2076,2025-07-10,Daging Sapi Murni,130000
2077,2025-07-10,Bawang Merah,39400
2078,2025-07-10,Cabe Merah Keriting,33750
2079,2025-07-10,Cabe Merah Besar,29500
2080,2025-07-10,Kedelai Biji Kering (Impor),9600
2081,2025-07-10,Terigu,9000
2082,2025-07-10,Bawang Putih Bonggol,29200
2083,2025-07-10,Cabe Rawit Merah,59250
2084,2025-07-10,Beras premium,14000
2085,2025-07-10,Minyak Goreng Curah,16500
2086,2025-07-07,Beras Medium,13000
2087,2025-07-07,Gula Pasir Konsumsi,17500
2088,2025-07-07,Minyak Goreng Kemasan,18000
2089,2025-07-07,Daging Ayam Ras,31667
2090,2025-07-07,Telur Ayam Ras,28000
2091,2025-07-07,Daging Sapi Murni,130000
2092,2025-07-07,Bawang Merah,28750
2093,2025-07-07,Cabe Merah Keriting,33750
2094,2025-07-07,Cabe Merah Besar,38750
2095,2025-07-07,Kedelai Biji Kering (Impor),9600
2096,2025-07-07,Terigu,9000
2097,2025-07-07,Bawang Putih Bonggol,29000
2098,2025-07-07,Cabe Rawit Merah,58750
2099,2025-07-07,Beras premium,14000
2100,2025-07-07,Minyak Goreng Curah,16500
2101,2025-07-03,Beras Medium,13000
2102,2025-07-03,Gula Pasir Konsumsi,17500
2103,2025-07-03,Minyak Goreng Kemasan,18000
2104,2025-07-03,Daging Ayam Ras,31667
2105,2025-07-03,Telur Ayam Ras,28000
2106,2025-07-03,Daging Sapi Murni,130000
2107,2025-07-03,Bawang Merah,37400
2108,2025-07-03,Cabe Merah Keriting,29250
2109,2025-07-03,Cabe Merah Besar,30000
2110,2025-07-03,Kedelai Biji Kering (Impor),9850
2111,2025-07-03,Terigu,9000
2112,2025-07-03,Bawang Putih Bonggol,30333
2113,2025-07-03,Cabe Rawit Merah,58750
2114,2025-07-03,Beras premium,14000
2115,2025-07-03,Minyak Goreng Curah,16500
2116,2025-06-30,Beras Medium,13000
2117,2025-06-30,Gula Pasir Konsumsi,17500
2118,2025-06-30,Minyak Goreng Kemasan,18000
2119,2025-06-30,Daging Ayam Ras,31667
2120,2025-06-30,Telur Ayam Ras,28000
2121,2025-06-30,Daging Sapi Murni,130000
2122,2025-06-30,Bawang Merah,37800
2123,2025-06-30,Cabe Merah Keriting,33750
2124,2025-06-30,Cabe Merah Besar,33750
2125,2025-06-30,Kedelai Biji Kering (Impor),9850
2126,2025-06-30,Terigu,9000
2127,2025-06-30,Bawang Putih Bonggol,30000
2128,2025-06-30,Cabe Rawit Merah,56250
2129,2025-06-30,Beras premium,14000
2130,2025-06-30,Minyak Goreng Curah,16500
2131,2025-06-26,Beras Medium,13000
2132,2025-06-26,Gula Pasir Konsumsi,17438
2133,2025-06-26,Minyak Goreng Kemasan,18000
2134,2025-06-26,Daging Ayam Ras,31667
2135,2025-06-26,Telur Ayam Ras,28000
2136,2025-06-26,Daging Sapi Murni,130000
2137,2025-06-26,Bawang Merah,40400
2138,2025-06-26,Cabe Merah Keriting,26250
2139,2025-06-26,Cabe Merah Besar,27500
2140,2025-06-26,Kedelai Biji Kering (Impor),9850
2141,2025-06-26,Terigu,9000
2142,2025-06-26,Bawang Putih Bonggol,30200
2143,2025-06-26,Cabe Rawit Merah,55500
2144,2025-06-26,Beras premium,14000
2145,2025-06-26,Minyak Goreng Curah,16500
2146,2025-06-23,Beras Medium,13000
2147,2025-06-23,Gula Pasir Konsumsi,17313
2148,2025-06-23,Minyak Goreng Kemasan,18000
2149,2025-06-23,Daging Ayam Ras,31667
2150,2025-06-23,Telur Ayam Ras,28000
2151,2025-06-23,Daging Sapi Murni,130000
2152,2025-06-23,Bawang Merah,38600
2153,2025-06-23,Cabe Merah Keriting,31250
2154,2025-06-23,Cabe Merah Besar,38750
2155,2025-06-23,Kedelai Biji Kering (Impor),9950
2156,2025-06-23,Terigu,9000
2157,2025-06-23,Bawang Putih Bonggol,30000
2158,2025-06-23,Cabe Rawit Merah,45000
2159,2025-06-23,Beras premium,14000
2160,2025-06-23,Minyak Goreng Curah,16500
2161,2025-06-20,Beras Medium,13000
2162,2025-06-20,Gula Pasir Konsumsi,17450
2163,2025-06-20,Minyak Goreng Kemasan,18000
2164,2025-06-20,Daging Ayam Ras,30000
2165,2025-06-20,Telur Ayam Ras,28000
2166,2025-06-20,Daging Sapi Murni,130000
2167,2025-06-20,Bawang Merah,40200
2168,2025-06-20,Cabe Merah Keriting,23750
2169,2025-06-20,Cabe Merah Besar,32500
2170,2025-06-20,Kedelai Biji Kering (Impor),9950
2171,2025-06-20,Terigu,9000
2172,2025-06-20,Bawang Putih Bonggol,29400
2173,2025-06-20,Cabe Rawit Merah,56250
2174,2025-06-20,Beras premium,14000
2175,2025-06-20,Minyak Goreng Curah,16500
2176,2025-06-16,Beras Medium,13000
2177,2025-06-16,Gula Pasir Konsumsi,17438
2178,2025-06-16,Minyak Goreng Kemasan,18000
2179,2025-06-16,Daging Ayam Ras,29000
2180,2025-06-16,Telur Ayam Ras,28000
2181,2025-06-16,Daging Sapi Murni,130000
2182,2025-06-16,Bawang Merah,42200
2183,2025-06-16,Cabe Merah Keriting,28000
2184,2025-06-16,Cabe Merah Besar,38750
2185,2025-06-16,Kedelai Biji Kering (Impor),9950
2186,2025-06-16,Terigu,9000
2187,2025-06-16,Bawang Putih Bonggol,29200
2188,2025-06-16,Cabe Rawit Merah,45000
2189,2025-06-16,Beras premium,14000
2190,2025-06-16,Minyak Goreng Curah,16500
2191,2025-06-12,Beras Medium,13000
2192,2025-06-12,Gula Pasir Konsumsi,17438
2193,2025-06-12,Minyak Goreng Kemasan,18000
2194,2025-06-12,Daging Ayam Ras,29000
2195,2025-06-12,Telur Ayam Ras,27600
2196,2025-06-12,Daging Sapi Murni,130000
2197,2025-06-12,Bawang Merah,39200
2198,2025-06-12,Cabe Merah Keriting,31250
2199,2025-06-12,Cabe Merah Besar,38750
2200,2025-06-12,Kedelai Biji Kering (Impor),9950
2201,2025-06-12,Terigu,9000
2202,2025-06-12,Bawang Putih Bonggol,31200
2203,2025-06-12,Cabe Rawit Merah,35500
2204,2025-06-12,Beras premium,14000
2205,2025-06-12,Minyak Goreng Curah,16500
2206,2025-06-09,Beras Medium,13000
2207,2025-06-09,Gula Pasir Konsumsi,17500
2208,2025-06-09,Minyak Goreng Kemasan,18000
2209,2025-06-09,Daging Ayam Ras,29000
2210,2025-06-09,Telur Ayam Ras,28000
2211,2025-06-09,Daging Sapi Murni,130000
2212,2025-06-09,Bawang Merah,30750
2213,2025-06-09,Cabe Merah Keriting,29500
2214,2025-06-09,Cabe Merah Besar,38750
2215,2025-06-09,Kedelai Biji Kering (Impor),9983
2216,2025-06-09,Terigu,9000
2217,2025-06-09,Bawang Putih Bonggol,31000
2218,2025-06-09,Cabe Rawit Merah,29500
2219,2025-06-09,Beras premium,14000
2220,2025-06-09,Minyak Goreng Curah,16500
2221,2025-06-05,Beras Medium,13000
2222,2025-06-05,Gula Pasir Konsumsi,17500
2223,2025-06-05,Minyak Goreng Kemasan,18000
2224,2025-06-05,Daging Ayam Ras,29000
2225,2025-06-05,Telur Ayam Ras,27200
2226,2025-06-05,Daging Sapi Murni,130000
2227,2025-06-05,Bawang Merah,31400
2228,2025-06-05,Cabe Merah Keriting,28750
2229,2025-06-05,Cabe Merah Besar,33750
2230,2025-06-05,Kedelai Biji Kering (Impor),10000
2231,2025-06-05,Terigu,9000
2232,2025-06-05,Bawang Putih Bonggol,31200
2233,2025-06-05,Cabe Rawit Merah,28750
2234,2025-06-05,Beras premium,14000
2235,2025-06-05,Minyak Goreng Curah,16500
2236,2025-06-02,Beras Medium,13000
2237,2025-06-02,Gula Pasir Konsumsi,17438
2238,2025-06-02,Minyak Goreng Kemasan,18000
2239,2025-06-02,Daging Ayam Ras,29000
2240,2025-06-02,Telur Ayam Ras,26600
2241,2025-06-02,Daging Sapi Murni,130000
2242,2025-06-02,Bawang Merah,31400
2243,2025-06-02,Cabe Merah Keriting,33750
2244,2025-06-02,Cabe Merah Besar,31250
2245,2025-06-02,Kedelai Biji Kering (Impor),10000
2246,2025-06-02,Terigu,9000
2247,2025-06-02,Bawang Putih Bonggol,31200
2248,2025-06-02,Cabe Rawit Merah,31250
2249,2025-06-02,Beras premium,14000
2250,2025-06-02,Minyak Goreng Curah,17000
2251,2025-05-29,Beras Medium,13000
2252,2025-05-29,Gula Pasir Konsumsi,17875
2253,2025-05-29,Minyak Goreng Kemasan,18000
2254,2025-05-29,Daging Ayam Ras,29000
2255,2025-05-29,Telur Ayam Ras,27000
2256,2025-05-29,Daging Sapi Murni,130000
2257,2025-05-29,Bawang Merah,31800
2258,2025-05-29,Cabe Merah Keriting,27000
2259,2025-05-29,Cabe Merah Besar,27000
2260,2025-05-29,Kedelai Biji Kering (Impor),10000
2261,2025-05-29,Terigu,9333
2262,2025-05-29,Bawang Putih Bonggol,31200
2263,2025-05-29,Cabe Rawit Merah,27000
2264,2025-05-29,Beras premium,14000
2265,2025-05-29,Minyak Goreng Curah,17000
2266,2025-05-26,Beras Medium,13000
2267,2025-05-26,Gula Pasir Konsumsi,17875
2268,2025-05-26,Minyak Goreng Kemasan,18000
2269,2025-05-26,Daging Ayam Ras,29000
2270,2025-05-26,Telur Ayam Ras,27000
2271,2025-05-26,Daging Sapi Murni,130000
2272,2025-05-26,Bawang Merah,31800
2273,2025-05-26,Cabe Merah Keriting,30000
2274,2025-05-26,Cabe Merah Besar,32500
2275,2025-05-26,Kedelai Biji Kering (Impor),10000
2276,2025-05-26,Terigu,9000
2277,2025-05-26,Bawang Putih Bonggol,39200
2278,2025-05-26,Cabe Rawit Merah,28750
2279,2025-05-26,Beras premium,14000
2280,2025-05-26,Minyak Goreng Curah,17000
2281,2025-05-22,Beras Medium,13000
2282,2025-05-22,Gula Pasir Konsumsi,17875
2283,2025-05-22,Minyak Goreng Kemasan,18000
2284,2025-05-22,Daging Ayam Ras,29000
2285,2025-05-22,Telur Ayam Ras,27000
2286,2025-05-22,Daging Sapi Murni,130000
2287,2025-05-22,Bawang Merah,32400
2288,2025-05-22,Cabe Merah Keriting,36250
2289,2025-05-22,Cabe Merah Besar,23750
2290,2025-05-22,Kedelai Biji Kering (Impor),10000
2291,2025-05-22,Terigu,9000
2292,2025-05-22,Bawang Putih Bonggol,39200
2293,2025-05-22,Cabe Rawit Merah,23750
2294,2025-05-22,Beras premium,14000
2295,2025-05-22,Minyak Goreng Curah,17000
2296,2025-05-19,Beras Medium,13000
2297,2025-05-19,Gula Pasir Konsumsi,17875
2298,2025-05-19,Minyak Goreng Kemasan,18000
2299,2025-05-19,Daging Ayam Ras,29000
2300,2025-05-19,Telur Ayam Ras,27000
2301,2025-05-19,Daging Sapi Murni,130000
2302,2025-05-19,Bawang Merah,32400
2303,2025-05-19,Cabe Merah Keriting,33750
2304,2025-05-19,Cabe Merah Besar,23750
2305,2025-05-19,Kedelai Biji Kering (Impor),10000
2306,2025-05-19,Terigu,9000
2307,2025-05-19,Bawang Putih Bonggol,39200
2308,2025-05-19,Cabe Rawit Merah,23750
2309,2025-05-19,Beras premium,14000
2310,2025-05-19,Minyak Goreng Curah,17000
2311,2025-05-15,Beras Medium,13000
2312,2025-05-15,Gula Pasir Konsumsi,17813
2313,2025-05-15,Minyak Goreng Kemasan,18000
2314,2025-05-15,Daging Ayam Ras,29000
2315,2025-05-15,Telur Ayam Ras,27000
2316,2025-05-15,Daging Sapi Murni,130000
2317,2025-05-15,Bawang Merah,32400
2318,2025-05-15,Cabe Merah Keriting,38750
2319,2025-05-15,Cabe Merah Besar,33750
2320,2025-05-15,Kedelai Biji Kering (Impor),9950
2321,2025-05-15,Terigu,9000
2322,2025-05-15,Bawang Putih Bonggol,39200
2323,2025-05-15,Cabe Rawit Merah,28750
2324,2025-05-15,Beras premium,14000
2325,2025-05-15,Minyak Goreng Curah,17250
2326,2025-05-12,Beras Medium,13000
2327,2025-05-12,Gula Pasir Konsumsi,17875
2328,2025-05-12,Minyak Goreng Kemasan,18000
2329,2025-05-12,Daging Ayam Ras,29000
2330,2025-05-12,Telur Ayam Ras,20200
2331,2025-05-12,Daging Sapi Murni,130000
2332,2025-05-12,Bawang Merah,32400
2333,2025-05-12,Cabe Merah Keriting,38750
2334,2025-05-12,Cabe Merah Besar,33750
2335,2025-05-12,Kedelai Biji Kering (Impor),9950
2336,2025-05-12,Terigu,9000
2337,2025-05-12,Bawang Putih Bonggol,39200
2338,2025-05-12,Cabe Rawit Merah,33750
2339,2025-05-12,Beras premium,14000
2340,2025-05-12,Minyak Goreng Curah,17250
2341,2025-05-08,Beras Medium,13111
2342,2025-05-08,Gula Pasir Konsumsi,17875
2343,2025-05-08,Minyak Goreng Kemasan,18000
2344,2025-05-08,Daging Ayam Ras,29000
2345,2025-05-08,Telur Ayam Ras,27200
2346,2025-05-08,Daging Sapi Murni,130000
2347,2025-05-08,Bawang Merah,33600
2348,2025-05-08,Cabe Merah Keriting,38750
2349,2025-05-08,Cabe Merah Besar,33750
2350,2025-05-08,Kedelai Biji Kering (Impor),9950
2351,2025-05-08,Terigu,9000
2352,2025-05-08,Bawang Putih Bonggol,39200
2353,2025-05-08,Cabe Rawit Merah,33750
2354,2025-05-08,Beras premium,14000
2355,2025-05-08,Minyak Goreng Curah,17250
2356,2025-05-05,Beras Medium,13000
2357,2025-05-05,Gula Pasir Konsumsi,17813
2358,2025-05-05,Minyak Goreng Kemasan,18000
2359,2025-05-05,Daging Ayam Ras,29000
2360,2025-05-05,Telur Ayam Ras,27800
2361,2025-05-05,Daging Sapi Murni,130000
2362,2025-05-05,Bawang Merah,32400
2363,2025-05-05,Cabe Merah Keriting,38750
2364,2025-05-05,Cabe Merah Besar,32500
2365,2025-05-05,Kedelai Biji Kering (Impor),9950
2366,2025-05-05,Terigu,9000
2367,2025-05-05,Bawang Putih Bonggol,39200
2368,2025-05-05,Cabe Rawit Merah,33750
2369,2025-05-05,Beras premium,14000
2370,2025-05-05,Minyak Goreng Curah,17250
